idx,predictions,probabilities
3396,1,0.5066666666666667
3398,0,0.95
3404,0,0.97
3406,0,0.9466666666666667
3407,0,0.9466666666666667
3414,0,0.8433333333333334
3419,0,0.6533333333333333
3423,1,0.8433333333333334
3427,0,0.7533333333333333
3432,0,0.9033333333333333
3434,0,0.8833333333333333
3438,0,0.9433333333333334
3442,0,0.72
3443,0,0.93
3448,0,0.8433333333333334
3456,0,0.9
3464,0,0.8033333333333333
3470,1,0.7066666666666667
3475,0,0.6433333333333333
3477,0,0.56
3490,0,0.8333333333333334
3493,0,0.7166666666666667
3502,1,0.51
3508,0,0.7366666666666667
3516,0,0.7633333333333333
3517,0,0.5733333333333334
3525,0,0.58
3532,1,0.66
3535,0,0.5733333333333334
3536,1,0.5833333333333334
3540,0,0.7366666666666667
3547,0,0.5066666666666667
3550,1,0.5233333333333333
3557,1,0.7533333333333333
3562,0,0.7266666666666667
3563,0,0.8733333333333333
3564,0,0.6066666666666667
3570,0,0.8633333333333333
3573,1,0.6433333333333333
3577,0,0.5033333333333333
3579,1,0.6466666666666666
3581,0,0.8333333333333334
3587,0,0.8566666666666667
3602,0,0.56
3609,0,0.6833333333333333
3612,0,0.6266666666666667
3621,0,0.55
3642,0,0.7433333333333333
3647,1,0.5666666666666667
3649,0,0.5166666666666667
3654,1,0.56
3660,1,0.6566666666666666
3665,1,0.6833333333333333
3669,0,0.8266666666666667
3673,0,0.71
3675,0,0.6233333333333333
3678,0,0.7933333333333333
3680,1,0.5533333333333333
3686,1,0.63
3693,0,0.68
3710,1,0.72
3713,0,0.9566666666666667
3718,0,0.5966666666666667
3725,0,0.88
3726,0,0.5933333333333334
3747,0,0.6866666666666666
3753,0,0.9466666666666667
3754,1,0.62
3760,1,0.7166666666666667
3763,0,0.8866666666666667
3765,0,0.5966666666666667
3769,0,0.5966666666666667
3771,0,0.55
3784,0,0.8233333333333334
3787,0,0.7833333333333333
3794,0,0.7833333333333333
3796,0,0.9466666666666667
3798,0,0.8933333333333333
3809,0,0.65
3812,0,0.5133333333333333
3819,0,0.78
3828,1,0.5566666666666666
3831,0,0.7366666666666667
3833,0,0.8966666666666666
3837,1,0.79
3839,1,0.5266666666666666
3843,1,0.5733333333333334
3846,0,0.7733333333333333
3854,0,0.8933333333333333
3861,0,0.9533333333333334
3864,0,0.57
3868,0,0.8866666666666667
3869,0,0.92
3870,0,0.8166666666666667
3883,0,0.7333333333333333
3886,0,0.9533333333333334
3889,0,0.5366666666666666
3894,0,0.68
3907,0,0.9366666666666666
3910,0,0.7866666666666666
3913,0,0.83
3914,0,0.54
3921,1,0.5166666666666667
3923,0,0.91
3929,1,0.53
3931,1,0.5866666666666667
3932,0,0.5933333333333334
3937,1,0.62
3943,0,0.5966666666666667
3956,0,0.5766666666666667
3957,1,0.6066666666666667
3961,1,0.75
3971,0,0.8233333333333334
4004,0,0.7166666666666667
4005,0,0.91
4006,0,0.94
4011,0,0.8933333333333333
4013,0,0.82
4014,0,0.87
4016,0,0.6433333333333333
4017,0,0.9466666666666667
4020,0,0.9333333333333333
4022,0,0.8
4026,0,0.6
4032,0,0.87
4043,0,0.7666666666666667
4045,0,0.73
4048,0,0.86
4051,0,0.65
4052,0,0.5933333333333334
4056,0,0.9166666666666666
4059,0,0.9833333333333333
4069,0,0.9166666666666666
4074,1,0.53
4076,0,0.7233333333333334
4077,1,0.6466666666666666
4079,1,0.8533333333333334
4081,0,0.5133333333333333
4088,0,0.7366666666666667
4105,0,0.7933333333333333
4125,0,0.9433333333333334
4134,1,0.6066666666666667
4139,0,0.9533333333333334
4146,0,0.9066666666666666
4149,0,0.78
4151,1,0.6733333333333333
4155,0,0.8066666666666666
4157,0,0.8233333333333334
4168,1,0.5966666666666667
4170,0,0.5
4174,0,0.7733333333333333
4179,0,0.6333333333333333
4185,0,0.9333333333333333
4199,1,0.54
4205,0,0.9166666666666666
4208,0,0.93
4211,1,0.5666666666666667
4212,0,0.9666666666666667
4215,1,0.7333333333333333
4217,0,0.79
4219,1,0.8633333333333333
4226,1,0.6466666666666666
4227,1,0.5566666666666666
4229,0,0.7666666666666667
4231,0,0.7133333333333334
4233,0,0.98
4237,1,0.51
4243,0,0.53
4248,0,0.83
4255,0,0.79
4262,0,0.9533333333333334
4266,1,0.5366666666666666
4268,0,0.5466666666666666
4270,1,0.6866666666666666
4273,0,0.8933333333333333
4276,0,0.85
4277,0,0.8466666666666667
4279,0,0.73
4299,0,0.83
4313,0,0.9166666666666666
4322,0,0.8133333333333334
4324,0,0.9066666666666666
4328,0,0.5033333333333333
4331,0,0.6166666666666667
4335,0,0.76
4337,1,0.55
4338,0,0.6533333333333333
4343,0,0.9633333333333334
4347,0,0.91
4355,1,0.7366666666666667
4357,0,0.9466666666666667
4359,0,0.88
4362,0,0.69
4368,0,0.6566666666666666
4374,0,0.9866666666666667
4375,0,0.5033333333333333
4378,1,0.5233333333333333
4381,1,0.6566666666666666
4387,0,0.7766666666666666
4400,0,0.96
4423,0,0.7566666666666667
4424,0,0.9233333333333333
4428,0,0.5433333333333333
4433,1,0.78
4436,0,0.5166666666666667
4437,1,0.5133333333333333
4439,0,0.56
4449,0,0.64
4456,0,0.9466666666666667
4463,0,0.76
4467,0,0.9566666666666667
4468,0,0.9
4469,0,0.8866666666666667
4472,0,0.83
4473,0,0.9133333333333333
4476,1,0.7866666666666666
4500,0,0.9533333333333334
4509,0,0.5866666666666667
4513,1,0.7233333333333334
4521,0,0.75
4527,1,0.7066666666666667
4530,0,0.5466666666666666
4532,1,0.6966666666666667
4533,0,0.83
4535,0,0.67
4536,1,0.5966666666666667
4542,1,0.5166666666666667
4551,1,0.7666666666666667
4554,0,0.8733333333333333
4555,1,0.58
4564,0,0.7766666666666666
4572,1,0.7
4573,0,0.7633333333333333
4577,0,0.6066666666666667
4579,0,0.6766666666666666
4583,0,0.9533333333333334
4584,0,0.5166666666666667
4596,0,0.9533333333333334
4599,0,0.7
4607,1,0.5266666666666666
4609,0,0.5566666666666666
4610,0,0.9133333333333333
4616,1,0.55
4617,0,0.6233333333333333
4633,0,0.73
4638,0,0.5166666666666667
4641,0,0.8166666666666667
4653,1,0.6833333333333333
4655,0,0.5033333333333333
4659,1,0.5566666666666666
4669,0,0.9566666666666667
4678,0,0.8866666666666667
4685,1,0.57
4686,0,0.73
4691,0,0.6166666666666667
4695,0,0.7666666666666667
4698,0,0.6433333333333333
4700,0,0.5233333333333333
4711,0,0.68
4722,0,0.8966666666666666
4727,1,0.6
4756,0,0.95
4762,0,0.5133333333333333
4763,0,0.6233333333333333
4766,0,0.8833333333333333
4770,0,0.86
4784,0,0.6666666666666666
4791,0,0.9266666666666666
4795,0,0.94
4799,1,0.5433333333333333
4802,1,0.7166666666666667
4805,1,0.64
4814,1,0.6466666666666666
4816,1,0.7866666666666666
4817,0,0.9166666666666666
4822,0,0.7066666666666667
4827,0,0.61
4833,0,0.75
4836,0,0.81
4842,0,0.5766666666666667
4844,0,0.8
4845,1,0.51
4849,0,0.73
4850,0,0.5566666666666666
4860,0,0.9466666666666667
4863,0,0.6466666666666666
4871,0,0.71
4878,1,0.62
4881,0,0.5033333333333333
4888,1,0.6233333333333333
4900,0,0.6033333333333334
4906,1,0.6733333333333333
4909,0,0.92
4916,0,0.8066666666666666
4918,0,0.6166666666666667
4926,0,0.7
4928,0,0.7033333333333334
4941,0,0.5233333333333333
4946,0,0.83
4949,0,0.8433333333333334
4956,0,0.8966666666666666
4966,0,0.9066666666666666
4969,1,0.6033333333333334
4973,0,0.94
4978,1,0.57
4982,0,0.5566666666666666
4985,0,0.9766666666666667
4991,0,0.87
4998,0,0.95
5000,1,0.5833333333333334
5004,0,0.5933333333333334
5005,1,0.7333333333333333
5011,1,0.7633333333333333
5016,1,0.5666666666666667
5018,0,0.8666666666666667
5034,0,0.64
5038,0,0.71
5042,0,0.7433333333333333
5046,0,0.9366666666666666
5051,0,0.57
5054,0,0.7133333333333334
5057,0,0.54
5062,0,0.8933333333333333
5063,0,0.9533333333333334
5065,0,0.8866666666666667
5066,0,0.9266666666666666
5076,0,0.7866666666666666
5089,0,0.6533333333333333
5092,1,0.5166666666666667
5093,1,0.69
5094,0,0.8966666666666666
5098,1,0.79
5102,0,0.8966666666666666
5112,0,0.78
5117,1,0.6166666666666667
5127,1,0.72
5130,0,0.5533333333333333
5131,1,0.6233333333333333
5132,1,0.6466666666666666
5135,1,0.6766666666666666
5136,0,0.92
5147,0,0.5266666666666666
5157,0,0.9233333333333333
5160,0,0.7466666666666667
5165,0,0.89
5166,0,0.5166666666666667
5172,1,0.7
5173,0,0.7033333333333334
5179,1,0.6333333333333333
5184,1,0.6433333333333333
5187,0,0.55
5191,0,0.7866666666666666
5193,0,0.67
5194,0,0.7
5199,0,0.6066666666666667
5212,0,0.9833333333333333
5213,0,0.5866666666666667
5224,0,0.8633333333333333
5226,0,0.8433333333333334
5239,0,0.5
5252,1,0.6733333333333333
5264,0,0.7366666666666667
5266,0,0.9366666666666666
5271,0,0.9066666666666666
5273,0,0.9
5276,1,0.5233333333333333
5278,0,0.8133333333333334
5281,1,0.56
5283,0,0.5166666666666667
5291,0,0.7033333333333334
5294,0,0.5533333333333333
5296,0,0.5333333333333333
5297,1,0.69
5313,0,0.9833333333333333
5314,0,0.81
5321,0,0.6466666666666666
5325,0,0.94
5326,0,0.75
5328,0,0.9666666666666667
5334,0,0.8133333333333334
5338,1,0.6133333333333333
5344,0,0.84
5348,1,0.5733333333333334
5352,0,0.6866666666666666
5353,0,0.9233333333333333
5354,0,0.6733333333333333
5361,1,0.7166666666666667
5364,0,0.8533333333333334
5365,0,0.7933333333333333
5367,1,0.54
5379,0,0.74
5382,0,0.6366666666666667
5386,0,0.5066666666666667
5395,0,0.8833333333333333
5410,0,0.65
5411,0,0.67
5416,1,0.5966666666666667
5424,1,0.7866666666666666
5426,0,0.67
5428,0,0.6733333333333333
5430,0,0.5566666666666666
5433,0,0.7833333333333333
5437,0,0.9666666666666667
5440,0,0.73
5442,1,0.8566666666666667
5445,1,0.6466666666666666
5449,0,0.7133333333333334
5452,1,0.62
5460,0,0.5466666666666666
5461,0,0.7466666666666667
5465,0,0.5766666666666667
5467,0,0.73
5471,0,0.7633333333333333
5474,1,0.6966666666666667
5475,0,0.9233333333333333
5480,0,0.8066666666666666
5481,0,0.6466666666666666
5484,0,0.79
5494,0,0.62
5495,1,0.73
5497,0,0.96
5499,0,0.5533333333333333
5507,0,0.8833333333333333
5510,0,0.91
5515,0,0.7533333333333333
5516,0,0.7333333333333333
5517,0,0.8433333333333334
5524,0,0.9266666666666666
5530,0,0.84
5534,0,0.55
5543,0,0.56
5545,1,0.6
